[LoggerStatus.SUCCESS] | Installed: noto-fonts-emoji | Thu Oct 16 03:17:40 2025
[LoggerStatus.SUCCESS] | Installed: noto-fonts-cjk | Thu Oct 16 03:18:37 2025
[LoggerStatus.SUCCESS] | Installed: gthumb | Thu Oct 16 03:18:42 2025
[LoggerStatus.SUCCESS] | Installed: gnome-disk-utility | Thu Oct 16 03:18:44 2025
[LoggerStatus.SUCCESS] | Installed: lazydocker | Thu Oct 16 03:18:46 2025
[LoggerStatus.SUCCESS] | Installed: cava | Thu Oct 16 03:18:48 2025
[LoggerStatus.SUCCESS] | Installed: i3lock-color | Thu Oct 16 03:19:17 2025
[LoggerStatus.SUCCESS] | Installed: ptpython | Thu Oct 16 03:19:31 2025
[LoggerStatus.SUCCESS] | Installed: ttf-symbola | Thu Oct 16 03:20:05 2025
[LoggerStatus.SUCCESS] | Installed: hyx | Thu Oct 16 03:20:16 2025
[LoggerStatus.SUCCESS] | Installed: arttime-git | Thu Oct 16 03:20:33 2025
[LoggerStatus.SUCCESS] | Installed: bluetuith | Thu Oct 16 03:21:36 2025
[LoggerStatus.SUCCESS] | Installed: rofi-bluetooth-git | Thu Oct 16 03:21:52 2025
[LoggerStatus.SUCCESS] | Installed: anki | Thu Oct 16 03:46:06 2025
[LoggerStatus.SUCCESS] | Installed: light | Thu Oct 16 03:46:07 2025
[LoggerStatus.SUCCESS] | [+] Firefox styles installed | Thu Oct 16 03:46:17 2025
[LoggerStatus.SUCCESS] | [+] Installed Dev Dependencies | Thu Oct 16 03:46:17 2025
[LoggerStatus.SUCCESS] | Installed: screenkey | Thu Oct 16 03:46:23 2025
[LoggerStatus.SUCCESS] | Installed: timeshift | Thu Oct 16 03:46:26 2025
[LoggerStatus.SUCCESS] | Installed: pinta | Thu Oct 16 03:46:27 2025
[LoggerStatus.SUCCESS] | Installed: kdenlive | Thu Oct 16 03:46:54 2025
[LoggerStatus.SUCCESS] | Installed: lazygit | Thu Oct 16 03:46:57 2025
[LoggerStatus.SUCCESS] | Installed: wireshark-qt | Thu Oct 16 03:47:09 2025
[LoggerStatus.SUCCESS] | Installed: filezilla | Thu Oct 16 03:47:13 2025
[LoggerStatus.SUCCESS] | Installed: chromium | Thu Oct 16 03:47:43 2025
[LoggerStatus.SUCCESS] | Installed: xfce4-settings | Thu Oct 16 03:47:50 2025
[LoggerStatus.SUCCESS] | Installed: keepassxc | Thu Oct 16 03:47:55 2025
[LoggerStatus.SUCCESS] | Installed: audacity | Thu Oct 16 03:48:01 2025
[LoggerStatus.SUCCESS] | Installed: gufw | Thu Oct 16 03:48:12 2025
[LoggerStatus.SUCCESS] | Installed: bleachbit | Thu Oct 16 03:48:14 2025
[LoggerStatus.SUCCESS] | Installed: veracrypt | Thu Oct 16 03:48:18 2025
[LoggerStatus.SUCCESS] | Installed: homebank | Thu Oct 16 03:48:22 2025
[LoggerStatus.SUCCESS] | Installed: neovim | Thu Oct 16 03:48:27 2025
[LoggerStatus.SUCCESS] | Installed: obs-studio | Thu Oct 16 03:48:32 2025
[LoggerStatus.SUCCESS] | Installed: telegram-desktop | Thu Oct 16 03:48:58 2025
[LoggerStatus.SUCCESS] | Installed: tmux | Thu Oct 16 03:48:59 2025
[LoggerStatus.SUCCESS] | Installed: yt-dlp | Thu Oct 16 03:49:03 2025
[LoggerStatus.SUCCESS] | Installed: code | Thu Oct 16 03:49:39 2025
[LoggerStatus.SUCCESS] | Installed: cowsay | Thu Oct 16 03:49:40 2025
[LoggerStatus.SUCCESS] | Installed: deluge-gtk | Thu Oct 16 03:49:49 2025
[LoggerStatus.SUCCESS] | Installed: flameshot | Thu Oct 16 03:49:51 2025
[LoggerStatus.SUCCESS] | Installed: sqlitebrowser | Thu Oct 16 03:49:55 2025
[LoggerStatus.SUCCESS] | Installed: obsidian | Thu Oct 16 03:50:00 2025
[LoggerStatus.SUCCESS] | Installed: python-pip | Thu Oct 16 03:50:02 2025
[LoggerStatus.SUCCESS] | Installed: bpython | Thu Oct 16 03:50:04 2025
[LoggerStatus.SUCCESS] | Installed: ipython | Thu Oct 16 03:50:06 2025
[LoggerStatus.SUCCESS] | Installed: cloc | Thu Oct 16 03:50:08 2025
[LoggerStatus.SUCCESS] | Installed: hexyl | Thu Oct 16 03:50:10 2025
